phase,T_celsius,T_K,elem_a,elem_b,omega_Jmol,z_bcc,lsq_xmin,lsq_xmax,lsq_npts
BCC_A2,570,843.15,FE,W,93.17692522088801,8,0.05,0.95,19
BCC_A2,570,843.15,MN,MO,1271.4598679612695,8,0.05,0.95,19
BCC_A2,570,843.15,MN,NB,21.522211488857874,8,0.05,0.95,19
BCC_A2,570,843.15,MN,NI,-353.04897021242465,8,0.05,0.95,19
BCC_A2,570,843.15,MN,SI,-11180.506561247039,8,0.05,0.95,19
BCC_A2,570,843.15,MN,TI,-2878.3331513141725,8,0.05,0.95,19
BCC_A2,570,843.15,MN,W,21.522211490397012,8,0.05,0.95,19
BCC_A2,570,843.15,MO,NB,1.2241501449772733e-08,8,0.05,0.95,19
BCC_A2,570,843.15,MO,NI,38.64593374040038,8,0.05,0.95,19
BCC_A2,570,843.15,MO,SI,-7499.62593902347,8,0.05,0.95,19
BCC_A2,570,843.15,MO,TI,-1074.5250513478811,8,0.05,0.95,19
BCC_A2,570,843.15,MO,W,249.98753129302668,8,0.05,0.95,19
BCC_A2,570,843.15,NB,NI,-2287.732368531639,8,0.05,0.95,19
BCC_A2,570,843.15,NB,SI,-18624.33603276821,8,0.05,0.95,19
BCC_A2,570,843.15,NB,TI,1749.912718881272,8,0.05,0.95,19
BCC_A2,570,843.15,NB,W,-4292.660893287262,8,0.05,0.95,19
BCC_A2,570,843.15,NI,SI,-25611.03156343953,8,0.05,0.95,19
BCC_A2,570,843.15,NI,TI,-12117.737544078138,8,0.05,0.95,19
BCC_A2,570,843.15,NI,W,5.096754898000051e-09,8,0.05,0.95,19
BCC_A2,570,843.15,SI,TI,-32960.384863899824,8,0.05,0.95,19
BCC_A2,570,843.15,SI,W,2.294093521707618e-07,8,0.05,0.95,19
BCC_A2,570,843.15,TI,W,152.60484225372377,8,0.05,0.95,19
BCC_A2,590,863.15,CR,CU,0.22040584482034356,8,0.05,0.95,19
BCC_A2,590,863.15,CR,FE,3097.4148457330257,8,0.05,0.95,19
BCC_A2,590,863.15,CR,MN,-2527.271329133955,8,0.05,0.95,19
BCC_A2,590,863.15,CR,MO,1092.3368079586032,8,0.05,0.95,19
BCC_A2,590,863.15,CR,NB,408.6662998337894,8,0.05,0.95,19
BCC_A2,590,863.15,CR,NI,151.8836907465991,8,0.05,0.95,19
BCC_A2,590,863.15,CR,SI,-13066.561529696004,8,0.05,0.95,19
BCC_A2,590,863.15,CR,TI,1123.6920405757903,8,0.05,0.95,19
BCC_A2,590,863.15,CR,W,269.5594040962192,8,0.05,0.95,19
BCC_A2,590,863.15,CU,FE,69.07208990739477,8,0.05,0.95,19
BCC_A2,590,863.15,CU,MN,2078.405420215719,8,0.05,0.95,19
BCC_A2,590,863.15,CU,MO,2.096113034361283e-08,8,0.05,0.95,19
BCC_A2,590,863.15,CU,NB,31.328688812713562,8,0.05,0.95,19
BCC_A2,590,863.15,CU,NI,1093.6454254216428,8,0.05,0.95,19
BCC_A2,590,863.15,CU,SI,-3252.7849545231566,8,0.05,0.95,19
BCC_A2,590,863.15,CU,TI,-1.3401265362150158e-08,8,0.05,0.95,19
BCC_A2,590,863.15,CU,W,2.2349457387988657e-08,8,0.05,0.95,19
BCC_A2,590,863.15,FE,MN,1599.1779534565858,8,0.05,0.95,19
BCC_A2,590,863.15,FE,MO,502.42462334864007,8,0.05,0.95,19
BCC_A2,590,863.15,FE,NB,1166.6533633346837,8,0.05,0.95,19
BCC_A2,590,863.15,FE,NI,725.2022438144054,8,0.05,0.95,19
BCC_A2,590,863.15,FE,SI,-16916.695754115768,8,0.05,0.95,19
BCC_A2,590,863.15,FE,TI,-5570.267312235673,8,0.05,0.95,19
BCC_A2,590,863.15,FE,W,110.37948680216876,8,0.05,0.95,19
BCC_A2,590,863.15,MN,MO,1269.5224813783511,8,0.05,0.95,19
BCC_A2,590,863.15,MN,NB,19.58482490541526,8,0.05,0.95,19
BCC_A2,590,863.15,MN,NI,-360.737108935065,8,0.05,0.95,19
BCC_A2,590,863.15,MN,SI,-11182.44394782744,8,0.05,0.95,19
BCC_A2,590,863.15,MN,TI,-2880.270537894979,8,0.05,0.95,19
BCC_A2,590,863.15,MN,W,19.58482490701336,8,0.05,0.95,19
BCC_A2,590,863.15,MO,NB,1.2287749544412796e-08,8,0.05,0.95,19
BCC_A2,590,863.15,MO,NI,45.23114471464772,8,0.05,0.95,19
BCC_A2,590,863.15,MO,SI,-7499.625939022797,8,0.05,0.95,19
BCC_A2,590,863.15,MO,TI,-961.1206751170243,8,0.05,0.95,19
BCC_A2,590,863.15,MO,W,249.9875312931229,8,0.05,0.95,19
