feature,importance_gini
Mo,0.44381019874206795
W,0.1670820910946753
Ni,0.09867085251524361
Nb,0.0857724101907575
Ti,0.06168042074509141
Cr,0.048898499943237764
Al,0.02669142990395746
Mn,0.02397043428660129
Si,0.019786084879607153
Cu,0.012320954974787307
V,0.0075177012110613905
Co,0.0037989215129119723
