RMSE,MAE,R2,NRMSE,ME_bias,fold_id,n_test
0.11671301735295546,0.04137221120428741,0.9133413507930557,0.3032816677076439,0.0023749072542607395,1,1615
0.11045363178116291,0.04383300495542789,0.9172334321692237,0.28467230201146504,-0.004301604807419685,2,1615
0.10728013220181824,0.0399218080606401,0.9227970561086232,0.27688859626915674,-0.005952806879108217,3,1614
0.12025622705696726,0.041784557457983554,0.901433569490203,0.3098342295380228,0.0010675375901064417,4,1614
0.10425299634547736,0.03953309118815389,0.9269330872977133,0.26901123200385885,-0.0011419166720261155,5,1614
0.10559908675970471,0.040443848201972284,0.9268398338873192,0.27330102382612165,-0.004338269099253206,6,1615
0.09652199162362754,0.037178463251946035,0.9376686855537606,0.2491925569365956,0.00024302936718184636,7,1615
0.12358576216352034,0.044689080805343215,0.8982516247547294,0.31923911825312484,-0.0044751125407307855,8,1614
0.11774419363302512,0.043076841453676434,0.9076687538986974,0.3042075807812078,-0.0018830529666081907,9,1614
0.09583015647173006,0.03808944446396986,0.9375592363229655,0.24693966338314025,1.3384790084005253e-06,10,1614
0.11967240405135524,0.0428320033938975,0.9083221626696754,0.31071608406986684,1.7024726658259418e-05,11,1615
0.10019449091190778,0.03796846684253258,0.9319607577932794,0.25826062202881594,-0.005120643467021498,12,1615
0.10998225420410879,0.04145207962966559,0.920166576628023,0.2844295693881538,0.00022592011890900607,13,1614
0.10241676319110188,0.039896319527475195,0.9281059874382033,0.2636286981960355,0.0005026011668976912,14,1614
0.10716095821054782,0.03967388669465335,0.9225710503489333,0.27639345962046086,-0.002227662077945829,15,1614
0.11499493505758562,0.04336504104839277,0.9141105698451143,0.29806462231366887,0.0040330773255787345,16,1615
0.09792715206450077,0.0396361289585062,0.9370339933089429,0.25343262917547976,-0.0017847306224355063,17,1615
0.1098790676426809,0.039372791678246304,0.9205781410487467,0.2843520101777002,-0.0016341762607255989,18,1614
0.10870061582752727,0.04153828486948571,0.9193350792485374,0.2800352293195081,-0.00416580502876515,19,1614
0.10675018026312197,0.03921449167722784,0.9206368043996604,0.2743529694724757,-0.0014195933985719435,20,1614
0.1002532078232254,0.03838373622682918,0.9309348332906355,0.25797960597010255,0.0016085137683573584,21,1615
0.11182752502948178,0.04009236311369782,0.9212136715633203,0.2909904271210455,-0.0032575198063312773,22,1615
0.10725418808341737,0.04054358357198357,0.921250530617249,0.27612792752563575,-0.0030930835373664902,23,1614
0.1109689090156915,0.04281225180510146,0.9189739076753698,0.2871545652157997,-0.0003645507366194001,24,1614
0.11989216192262592,0.04421468144513592,0.9019124257939897,0.30887912231198694,0.001348693167141177,25,1614
0.1234606671988866,0.04327864310266514,0.9009980691667541,0.31995740323002797,-0.00030453457287596734,26,1615
0.10523837580742415,0.039526688474874595,0.9248388709426708,0.2712315070740933,9.338392319068955e-05,27,1615
0.10003639598474953,0.03882548400916634,0.9349971168901112,0.2592518976552284,0.001497361917905133,28,1614
0.10450273886484737,0.039990057516879854,0.9275158020933304,0.2701666408585447,0.0002978875785282176,29,1614
0.10556133981715575,0.03972911687544239,0.9220196546554813,0.2710954790661737,-0.007776222921953024,30,1614
0.11613078129724373,0.04270514047875342,0.9078377065844189,0.2990537179925297,-0.0011888337047145205,31,1615
0.10537210080551224,0.03878495470353561,0.926866010145383,0.27258585626657866,-0.0005573940201624429,32,1615
0.10984846554688349,0.0414055560821162,0.9201617573937856,0.2840121199676705,-0.006184028571675954,33,1614
0.10697407872424095,0.039604072436736276,0.9239766807761455,0.27643322081499033,0.0019585981087884316,34,1614
0.11342272626022244,0.0437028044524674,0.9139407588780603,0.29283077731372664,0.0011820783732904214,35,1614
0.10862824583341345,0.04019023537218561,0.9232528639248841,0.28147367646733673,0.006338947689478068,36,1615
0.10011079166708382,0.039023468945121854,0.9314354892148812,0.257765433221537,-0.002066891655625644,37,1615
0.11478844006584801,0.04086409711077701,0.910296180584607,0.2957799276993422,-0.005621427449074406,38,1614
0.10954552615811675,0.042938308177832854,0.9207312403667522,0.2832695026655225,-0.004583582390988113,39,1614
0.106034099838972,0.04093038211264268,0.9254146362161157,0.2741076596745899,-5.3293565559157855e-05,40,1614
0.11439384497211683,0.04286569680446148,0.9142519308849861,0.2961108663999856,-0.005338879556554808,41,1615
0.11173757844089784,0.04074295380923933,0.9177473549867303,0.28903571284046664,0.0037709646535945243,42,1615
0.10405361691438123,0.04026457476477961,0.9245914735563086,0.2673802886232812,-0.0061906339995214405,43,1614
0.11246703683998181,0.041346115313902886,0.9165981745261121,0.29089622916525437,0.0017258632076873441,44,1614
0.11718508832921887,0.04358740167425997,0.9082096138619405,0.30258619994354974,0.004813772997528461,45,1614
0.10046334346747991,0.04015803243484147,0.9350880120719767,0.26072499015856404,0.003025770619248447,46,1615
0.10749379813748597,0.041719904274195634,0.9214430861776408,0.27698491388931146,-0.0029804995544619978,47,1615
0.11595956770431144,0.0417389671445107,0.9107187383015874,0.2996637435071692,-0.001418713053567908,48,1614
0.122759364916796,0.04500762780865196,0.8984018291141993,0.3166305137549675,-0.00448277194173625,49,1614
0.09731961785819489,0.03614679985431485,0.9358928118523407,0.2508948236640389,-0.002412807719748381,50,1614
