fraction,n_train,rmse_train_mean,rmse_val_mean,rmse_val_std
0.05,407,0.06352795326113271,0.16822118218325327,0.009517726865690442
0.1,814,0.06467089098229342,0.17027853406342003,0.01571863801446836
0.2,1627,0.06782540649512905,0.16861475475376964,0.013732086039250337
0.35,2847,0.06143647038958636,0.15069357999467012,0.012150263691732712
0.5,4068,0.05916069687122093,0.1436363618955476,0.009371566416311698
0.7,5000,0.05918023708003235,0.1419748987911884,0.004889380144306692
1.0,5000,0.060709522914063854,0.14310338320784685,0.005005696214833347
