feature,importance_gini
Mo,0.37790282314880397
Ni,0.1390252589928909
Nb,0.11521452510034362
Cr,0.09243999381539943
W,0.08569747022263585
Ti,0.05375033774836278
Mn,0.042539090274102055
Cu,0.04060924631770413
Si,0.025817686465648276
V,0.012309304032964218
Al,0.009905538021986137
Co,0.004788725859158649
