RMSE,MAE,R2,NRMSE,ME_bias,fold_id,n_test
0.14725921948361484,0.06478069106818529,0.8364417820167309,0.400845985399756,-0.0018097567218611174,1,1627
0.13289391708148568,0.059935980491513746,0.8682025149983019,0.3622300044553425,0.003993741079636384,2,1627
0.12412303645578109,0.05683783270787325,0.8824961458724091,0.33741470202398954,-0.00280264823279383,3,1627
0.13760145582759836,0.062407825515915824,0.8638465157122891,0.3768293819945282,0.002202187342456992,4,1627
0.13722940294709352,0.0624052630049681,0.8610377665604818,0.37457022767337167,-0.009529052875405605,5,1627
0.1246814795961023,0.05718005066704652,0.8790370542031392,0.3381716698454948,-0.0054912526339416555,6,1627
0.1372207328807255,0.06292731673476613,0.8600644873396742,0.3742311551165572,-0.0036269307642617533,7,1627
0.13784667801460368,0.06120118851219037,0.8553804747955303,0.37481409992172815,-0.0021966535238981885,8,1627
0.13877621249018912,0.0627905926551064,0.8562662468807956,0.37825180592994123,-0.006878774682559435,9,1627
0.14646960355064445,0.0665303362693155,0.8499896377443472,0.4029191848845487,0.007226111087548431,10,1627
0.14517679575174772,0.0659020288755132,0.84612240168667,0.39700113340819587,0.0027549246481050242,11,1627
0.13415401958756434,0.06013608532830348,0.8712694787255277,0.3676433326801938,-0.004074887344668901,12,1627
0.1340973669509864,0.060462162969404966,0.8632224781061725,0.3646437644025029,-0.0023835182877108684,13,1627
0.13230004709419715,0.06113314028181644,0.8689993187516585,0.3606333574209024,-0.0026201838435529305,14,1627
0.14124442530721096,0.06300447316787772,0.8461066413360838,0.3834293654921924,-0.006464346713457579,15,1627
0.13708646843859543,0.061413813061756514,0.8579623243402017,0.3730606664335999,-0.0014828088706873958,16,1627
0.12764650259419486,0.05892829016849132,0.8786047779398484,0.34798691979289176,-0.003838669049271243,17,1627
0.13688400885582233,0.06115420830894835,0.8674805084773087,0.37573729495906355,0.00017668199096836375,18,1627
0.1414802163369206,0.06383938554171373,0.8499927732270804,0.38545448296971013,-0.005430105644833382,19,1627
0.14517111223261492,0.06623781094087637,0.8388338585395032,0.3945068048696233,-0.00010745719174870478,20,1627
0.13807190471980768,0.0631292856740862,0.859877098958643,0.37705159759505497,-0.008142551930853316,21,1627
0.13875261855853782,0.06343438854633116,0.8557960687242988,0.3780206430410255,-0.0017177991826323206,22,1627
0.13904805159139547,0.06323578746749621,0.8566090203261592,0.3792925590914152,-0.00841488043709772,23,1627
0.1345315334826981,0.05992540202780824,0.8667174753516566,0.3673570862369572,0.002926199062201122,24,1627
0.1408462537412244,0.06412744349339565,0.8495759501321029,0.3831844325493183,0.0003731075416572061,25,1627
0.13319140675681393,0.061007100882868204,0.8704389665701068,0.3640188835825865,-0.005872032148998133,26,1627
0.14677803739455084,0.06546417889902222,0.8445941818923269,0.4018160977180651,0.0010674637604353781,27,1627
0.125800260642528,0.05662337467194267,0.8774447585165484,0.34137028233371697,-0.003153421484963464,28,1627
0.14806993827962428,0.0683414547891046,0.8391069587037292,0.40444515960282934,-0.0007876512495492885,29,1627
0.12809945410453616,0.05795785800989459,0.8749722537949657,0.348264269606528,-0.0017334402023595865,30,1627
0.13758970388653513,0.06006604937408562,0.8539850010933552,0.3735830383360989,-0.004039286062871384,31,1627
0.13486565816056112,0.06004289886571935,0.8640635897817946,0.3675269236421126,0.0014025648204520644,32,1627
0.1345763312426311,0.06258185656114074,0.8640812099733923,0.36656428240986894,-0.004112507382447097,33,1627
0.1414098281052716,0.06393101389438761,0.8528109916562021,0.38611521135459226,-0.0008240477514233925,34,1627
0.13975264074902766,0.06315432118320917,0.8600275541015447,0.3828867443655708,-0.006596247496896993,35,1627
0.13807518360738177,0.0610383733480124,0.8638749211248319,0.3785110940968569,0.003143571891379652,36,1627
0.12696299575965428,0.05665791337951244,0.8799031318719288,0.3461261271865795,-0.0032602709881198685,37,1627
0.13354598936045073,0.0606052400643777,0.8712894139072419,0.365644055755871,0.0005519981166483062,38,1627
0.1489443965772998,0.0678757104870498,0.8241555270327935,0.40316425650098253,-0.006270178734513535,39,1627
0.1330154862912365,0.06142684696848006,0.8666381007042513,0.362144982500359,-0.004578981149016715,40,1627
0.13451422398657464,0.060543120800718817,0.860046630436392,0.36508338371278354,-0.004519313468862303,41,1627
0.12830921103155277,0.05814566665953141,0.8816446183832085,0.351420889589073,0.0014879625448617035,42,1627
0.13511647448666358,0.05984843782369047,0.8645835276559848,0.36855597968194154,-0.004810527906497153,43,1627
0.14512274853526053,0.06252426774659649,0.8436458290328832,0.3958070075650291,0.0003798618525085531,44,1627
0.1417508992372971,0.0656116259663483,0.850332829975484,0.38645568315583195,-0.0008449839588404398,45,1627
0.13451152720621515,0.062033037878294756,0.8628873542075826,0.36593765335859924,0.000262478943304104,46,1627
0.13723242904086635,0.06104432885759359,0.8609190085868266,0.37457340860139027,0.0033214219293331987,47,1627
0.14752055412212742,0.06438228467123525,0.8413222089689245,0.4033468899785858,-0.009076737358964674,48,1627
0.13646695955369664,0.061180853084882664,0.8582871487342696,0.37114162100231124,-0.0030088362165972176,49,1627
0.12425780026787307,0.05755513018398687,0.8864084341584383,0.33930482225653835,-0.004497379450814087,50,1627
