ts,gen,phase,eval_id,code_int,code_hex,fit_df_surface,fit_neg_df_bulk,DF_bulk,IE_bulk,DF_surface,IE_surface,ok_go_no_go,T_eval_C,elapsed_s,from_cache,val_C,val_B,val_N,val_Mn,val_Si,val_Cr,val_Mo,val_V,val_Ni,val_Ti,val_Al,val_Nb,val_W,val_t_hom,val_version,val_flags,val_crc8,val_spare,bulk_C,bulk_B,bulk_N,bulk_Mn,bulk_Si,bulk_Cr,bulk_Mo,bulk_V,bulk_Ni,bulk_Ti,bulk_Al,bulk_Nb,bulk_W,gng_reason,gng_LIQ,gng_BCC_A2@t_hom,gng_BCC_A2,gng_Cr_matrix_wt,gng_FCC_A1#2,gng_M23C6_D84,gng_D_Fe,gng_D_Mo,gng_D_W,gng_D_Mo_minus_D_Fe,gng_D_W_minus_D_Fe
2025-08-19 16:46:13,0,init,1,37307922841539980686612325300957085696,0x1c113e9c8e1a22526c0401e160000000,-1000000.0,-1000000.0,,,,,False,650.0,12.062208,False,0.064,0.0,0.017,1.7,0.07,9.42,1.5,0.17,0.02,0.18,2.1604,0.178,0.8200000000000001,955,0,0,0,0,0.064,0.0,0.017,1.7,0.07,9.42,1.5,0.17,0.02,0.18,2.1604,0.178,0.8200000000000001,FCC_A1#2 below minimum at T_eval,,,,,0.003042065524285487,,,,,,
2025-08-19 16:46:17,0,init,2,72944509937482137877332960237370474496,0x36e09a023e32e3a772a3806280000000,-1000000.0,-1000000.0,,,,,False,650.0,4.211438,False,0.077,0.003,0.032,3.5300000000000002,0.0,13.74,2.49,0.17,0.13,0.07,2.2904,1.438,0.5800000000000001,1000,0,0,0,0,0.077,0.003,0.032,3.5300000000000002,0.0,13.74,2.49,0.17,0.13,0.07,2.2904,1.438,0.5800000000000001,FCC_A1#2 below minimum at T_eval,,,,,0.007141086215376605,,,,,,
2025-08-19 16:46:19,0,init,3,145307230946151702751086572978520981504,0x6d51279bd456064c18add609a0000000,-1000000.0,-1000000.0,,,,,False,650.0,1.574019,False,0.10400000000000001,0.005,0.017,1.24,0.06,17.8,3.9,0.03,0.02,0.12,0.4904,1.848,4.04,1285,0,0,0,0,0.10400000000000001,0.005,0.017,1.24,0.06,17.8,3.9,0.03,0.02,0.12,0.4904,1.848,4.04,LIQ>0 at t_hom,0.0016916909206779155,,,,,,,,,,
2025-08-19 16:46:20,0,init,4,87882404279919665995741520738866167808,0x421d890fe460c5345c988470a0000000,-1000000.0,-1000000.0,,,,,False,650.0,1.730541,False,0.083,0.0,0.029,3.1900000000000004,0.03,17.96,4.33,0.02,0.09,0.2,1.8504,0.998,1.23,925,0,0,0,0,0.083,0.0,0.029,3.1900000000000004,0.03,17.96,4.33,0.02,0.09,0.2,1.8504,0.998,1.23,BCC_A2 too low at t_hom,,0.9707574004048152,,,,,,,,,
2025-08-19 16:46:25,0,init,5,78454847435034110804368218485151498240,0x3b05da9f7719d90e5d14d7b5a0000000,-1000000.0,-1000000.0,,,,,False,650.0,4.063165,False,0.079,0.004,0.005,4.82,0.07,16.87,1.49,0.12,0.08,0.14,1.8604,0.8480000000000001,4.3100000000000005,1125,0,0,0,0,0.079,0.004,0.005,4.82,0.07,16.87,1.49,0.12,0.08,0.14,1.8604,0.8480000000000001,4.3100000000000005,FCC_A1#2 below minimum at T_eval,,,,,0.006941649660608211,,,,,,
2025-08-19 16:46:26,0,init,6,70681084945539427426748190503940915200,0x352cae8a6f2be2e576309148e0000000,-1000000.0,-1000000.0,,,,,False,650.0,1.449731,False,0.07600000000000001,0.004,0.044,3.9400000000000004,0.02,14.23,2.21,0.17,0.07,0.05,2.3604,1.958,3.2800000000000002,1255,0,0,0,0,0.07600000000000001,0.004,0.044,3.9400000000000004,0.02,14.23,2.21,0.17,0.07,0.05,2.3604,1.958,3.2800000000000002,BCC_A2 too low at t_hom,,0.9898371860736436,,,,,,,,,
2025-08-19 16:46:28,0,init,7,76115066742249888839095013958066634752,0x39433a873850d9023648942360000000,-1000000.0,-1000000.0,,,,,False,650.0,1.984654,False,0.078,0.005,0.003,1.6199999999999999,0.01,16.240000000000002,3.69,0.12,0.08,0.02,1.0804,2.9179999999999997,3.74,1035,0,0,0,0,0.078,0.005,0.003,1.6199999999999999,0.01,16.240000000000002,3.69,0.12,0.08,0.02,1.0804,2.9179999999999997,3.74,BCC_A2 too low at t_hom,,0.9187386290120613,,,,,,,,,
2025-08-19 16:46:30,0,init,8,169691828027264354905298310404117626880,0x7fa975110f238f126db3172380000000,-1000000.0,-1000000.0,,,,,False,650.0,1.59041,False,0.113,0.006,0.041,2.79,0.04,10.71,1.88,0.07,0.08,0.18,2.1904,2.058,4.220000000000001,1040,0,0,0,0,0.113,0.006,0.041,2.79,0.04,10.71,1.88,0.07,0.08,0.18,2.1904,2.058,4.220000000000001,BCC_A2 too low at t_hom,,0.9533113890946419,,,,,,,,,
2025-08-19 16:46:34,0,init,9,47549777428259756125034181599510396928,0x23c5c107711c08b56c0818a600000000,-1000000.0,-1000000.0,,,,,False,650.0,4.301455,False,0.067,0.007,0.005,4.31,0.01,16.810000000000002,1.58,0.04,0.05,0.21,2.1604,0.338,4.46,1140,0,0,0,0,0.067,0.007,0.005,4.31,0.01,16.810000000000002,1.58,0.04,0.05,0.21,2.1604,0.338,4.46,FCC_A1#2 below minimum at T_eval,,,,,0.005233042435929633,,,,,,
2025-08-19 16:46:36,0,init,10,204541453882651801077966180565597028352,0x99e140477102c714570e52c6e0000000,-1000000.0,-1000000.0,,,,,False,650.0,2.125471,False,0.126,0.007,0.033,1.73,0.17,16.810000000000002,0.5700000000000001,0.03,0.08,0.2,1.7404,0.5880000000000001,3.52,1175,0,0,0,0,0.126,0.007,0.033,1.73,0.17,16.810000000000002,0.5700000000000001,0.03,0.08,0.2,1.7404,0.5880000000000001,3.52,BCC_A2 too low at t_hom,,0.989626601393282,,,,,,,,,
